"game_no","golden-pyramid-593 - success","golden-pyramid-593 - success__MIN","golden-pyramid-593 - success__MAX","golden-pyramid-593 - _step","golden-pyramid-593 - _step__MIN","golden-pyramid-593 - _step__MAX"
"1","1","1","1","1","1","1"
"2","1","1","1","2","2","2"
"3","1","1","1","3","3","3"
"4","1","1","1","4","4","4"
"5","1","1","1","5","5","5"
"6","1","1","1","6","6","6"
"7","1","1","1","7","7","7"
"8","1","1","1","8","8","8"
"9","1","1","1","9","9","9"
"10","0","0","0","10","10","10"
"11","1","1","1","11","11","11"
"12","1","1","1","12","12","12"
"13","1","1","1","13","13","13"
"14","1","1","1","14","14","14"
"15","1","1","1","15","15","15"
"16","1","1","1","16","16","16"
"17","1","1","1","17","17","17"
"18","1","1","1","18","18","18"
"19","1","1","1","19","19","19"
"20","1","1","1","20","20","20"
"21","1","1","1","21","21","21"
"22","1","1","1","22","22","22"
"23","1","1","1","23","23","23"
"24","1","1","1","24","24","24"
"25","1","1","1","25","25","25"
"26","1","1","1","26","26","26"
"27","1","1","1","27","27","27"
"28","1","1","1","28","28","28"
"29","0","0","0","29","29","29"
"30","1","1","1","30","30","30"
"31","1","1","1","31","31","31"
"32","1","1","1","32","32","32"
"33","1","1","1","33","33","33"
"34","1","1","1","34","34","34"
"35","0","0","0","35","35","35"
"36","1","1","1","36","36","36"
"37","1","1","1","37","37","37"
"38","1","1","1","38","38","38"
"39","1","1","1","39","39","39"
"40","1","1","1","40","40","40"
"41","1","1","1","41","41","41"
"42","1","1","1","42","42","42"
"43","1","1","1","43","43","43"
"44","1","1","1","44","44","44"
"45","1","1","1","45","45","45"
"46","1","1","1","46","46","46"
"47","1","1","1","47","47","47"
"48","1","1","1","48","48","48"
"49","1","1","1","49","49","49"
"50","1","1","1","50","50","50"
"51","1","1","1","51","51","51"
"52","0","0","0","52","52","52"
"53","1","1","1","53","53","53"
"54","1","1","1","54","54","54"
"55","1","1","1","55","55","55"
"56","1","1","1","56","56","56"
"57","0","0","0","57","57","57"
"58","1","1","1","58","58","58"
"59","1","1","1","59","59","59"
"60","1","1","1","60","60","60"
"61","1","1","1","61","61","61"
"62","1","1","1","62","62","62"
"63","1","1","1","63","63","63"
"64","1","1","1","64","64","64"
"65","1","1","1","65","65","65"
"66","1","1","1","66","66","66"
"67","1","1","1","67","67","67"
"68","1","1","1","68","68","68"
"69","0","0","0","69","69","69"
"70","1","1","1","70","70","70"
"71","1","1","1","71","71","71"
"72","1","1","1","72","72","72"
"73","1","1","1","73","73","73"
"74","1","1","1","74","74","74"
"75","1","1","1","75","75","75"
"76","1","1","1","76","76","76"
"77","0","0","0","77","77","77"
"78","1","1","1","78","78","78"
"79","0","0","0","79","79","79"
"80","1","1","1","80","80","80"
"81","1","1","1","81","81","81"
"82","1","1","1","82","82","82"
"83","1","1","1","83","83","83"
"84","1","1","1","84","84","84"
"85","1","1","1","85","85","85"
"86","0","0","0","86","86","86"
"87","1","1","1","87","87","87"
"88","1","1","1","88","88","88"
"89","1","1","1","89","89","89"
"90","1","1","1","90","90","90"
"91","1","1","1","91","91","91"
"92","1","1","1","92","92","92"
"93","0","0","0","93","93","93"
"94","0","0","0","94","94","94"
"95","1","1","1","95","95","95"
"96","1","1","1","96","96","96"
"97","1","1","1","97","97","97"
"98","1","1","1","98","98","98"
"99","1","1","1","99","99","99"
"100","1","1","1","100","100","100"
"101","1","1","1","101","101","101"
"102","1","1","1","102","102","102"
"103","1","1","1","103","103","103"
"104","1","1","1","104","104","104"
"105","1","1","1","105","105","105"
"106","1","1","1","106","106","106"
"107","0","0","0","107","107","107"
"108","1","1","1","108","108","108"
"109","0","0","0","109","109","109"
"110","1","1","1","110","110","110"
"111","1","1","1","111","111","111"
"112","1","1","1","112","112","112"
"113","1","1","1","113","113","113"
"114","1","1","1","114","114","114"
"115","1","1","1","115","115","115"
"116","1","1","1","116","116","116"
"117","1","1","1","117","117","117"
"118","1","1","1","118","118","118"
"119","1","1","1","119","119","119"
"120","1","1","1","120","120","120"
"121","0","0","0","121","121","121"
"122","1","1","1","122","122","122"
"123","0","0","0","123","123","123"
"124","0","0","0","124","124","124"
"125","0","0","0","125","125","125"
"126","1","1","1","126","126","126"
"127","1","1","1","127","127","127"
"128","1","1","1","128","128","128"
"129","1","1","1","129","129","129"
"130","1","1","1","130","130","130"
"131","1","1","1","131","131","131"
"132","1","1","1","132","132","132"
"133","1","1","1","133","133","133"
"134","1","1","1","134","134","134"
"135","1","1","1","135","135","135"
"136","1","1","1","136","136","136"
"137","1","1","1","137","137","137"
"138","1","1","1","138","138","138"
"139","0","0","0","139","139","139"
