"game_no","golden-pyramid-593 - runtime","golden-pyramid-593 - runtime__MIN","golden-pyramid-593 - runtime__MAX","golden-pyramid-593 - _step","golden-pyramid-593 - _step__MIN","golden-pyramid-593 - _step__MAX"
"1","364.50049448013306","364.50049448013306","364.50049448013306","1","1","1"
"2","358.3114399909973","358.3114399909973","358.3114399909973","2","2","2"
"3","248.59450793266296","248.59450793266296","248.59450793266296","3","3","3"
"4","167.5877079963684","167.5877079963684","167.5877079963684","4","4","4"
"5","590.2732713222504","590.2732713222504","590.2732713222504","5","5","5"
"6","1377.5828478336334","1377.5828478336334","1377.5828478336334","6","6","6"
"7","698.9199962615967","698.9199962615967","698.9199962615967","7","7","7"
"8","200.89346957206726","200.89346957206726","200.89346957206726","8","8","8"
"9","229.88769459724426","229.88769459724426","229.88769459724426","9","9","9"
"10","5420.897008180618","5420.897008180618","5420.897008180618","10","10","10"
"11","254.733243227005","254.733243227005","254.733243227005","11","11","11"
"12","1777.549643754959","1777.549643754959","1777.549643754959","12","12","12"
"13","357.21398878097534","357.21398878097534","357.21398878097534","13","13","13"
"14","180.88920044898987","180.88920044898987","180.88920044898987","14","14","14"
"15","442.30308842658997","442.30308842658997","442.30308842658997","15","15","15"
"16","351.8820815086365","351.8820815086365","351.8820815086365","16","16","16"
"17","1540.2935390472412","1540.2935390472412","1540.2935390472412","17","17","17"
"18","228.15217399597168","228.15217399597168","228.15217399597168","18","18","18"
"19","873.1891510486603","873.1891510486603","873.1891510486603","19","19","19"
"20","232.72856783866882","232.72856783866882","232.72856783866882","20","20","20"
"21","735.7416787147522","735.7416787147522","735.7416787147522","21","21","21"
"22","319.747771024704","319.747771024704","319.747771024704","22","22","22"
"23","606.1449809074402","606.1449809074402","606.1449809074402","23","23","23"
"24","177.0980453491211","177.0980453491211","177.0980453491211","24","24","24"
"25","843.8982150554657","843.8982150554657","843.8982150554657","25","25","25"
"26","1003.6234092712402","1003.6234092712402","1003.6234092712402","26","26","26"
"27","804.5933709144592","804.5933709144592","804.5933709144592","27","27","27"
"28","119.43901896476746","119.43901896476746","119.43901896476746","28","28","28"
"29","5284.020132064819","5284.020132064819","5284.020132064819","29","29","29"
"30","428.27780055999756","428.27780055999756","428.27780055999756","30","30","30"
"31","265.0088474750519","265.0088474750519","265.0088474750519","31","31","31"
"32","1507.9459071159363","1507.9459071159363","1507.9459071159363","32","32","32"
"33","218.8249499797821","218.8249499797821","218.8249499797821","33","33","33"
"34","609.7417666912079","609.7417666912079","609.7417666912079","34","34","34"
"35","4998.998410463333","4998.998410463333","4998.998410463333","35","35","35"
"36","170.91337871551514","170.91337871551514","170.91337871551514","36","36","36"
"37","593.0133137702942","593.0133137702942","593.0133137702942","37","37","37"
"38","691.3103361129761","691.3103361129761","691.3103361129761","38","38","38"
"39","261.13221764564514","261.13221764564514","261.13221764564514","39","39","39"
"40","505.59906005859375","505.59906005859375","505.59906005859375","40","40","40"
"41","245.02248311042786","245.02248311042786","245.02248311042786","41","41","41"
"42","132.0810956954956","132.0810956954956","132.0810956954956","42","42","42"
"43","259.0903341770172","259.0903341770172","259.0903341770172","43","43","43"
"44","1335.2862951755524","1335.2862951755524","1335.2862951755524","44","44","44"
"45","210.90181279182434","210.90181279182434","210.90181279182434","45","45","45"
"46","683.9189214706421","683.9189214706421","683.9189214706421","46","46","46"
"47","209.00512981414795","209.00512981414795","209.00512981414795","47","47","47"
"48","207.33775997161865","207.33775997161865","207.33775997161865","48","48","48"
"49","390.18156576156616","390.18156576156616","390.18156576156616","49","49","49"
"50","237.15353417396545","237.15353417396545","237.15353417396545","50","50","50"
"51","168.58055233955383","168.58055233955383","168.58055233955383","51","51","51"
"52","2364.7905657291412","2364.7905657291412","2364.7905657291412","52","52","52"
"53","133.31061220169067","133.31061220169067","133.31061220169067","53","53","53"
"54","134.00141191482544","134.00141191482544","134.00141191482544","54","54","54"
"55","261.6158118247986","261.6158118247986","261.6158118247986","55","55","55"
"56","261.7100532054901","261.7100532054901","261.7100532054901","56","56","56"
"57","3568.0217056274414","3568.0217056274414","3568.0217056274414","57","57","57"
"58","495.45983052253723","495.45983052253723","495.45983052253723","58","58","58"
"59","756.32643866539","756.32643866539","756.32643866539","59","59","59"
"60","874.6187636852264","874.6187636852264","874.6187636852264","60","60","60"
"61","354.1253900527954","354.1253900527954","354.1253900527954","61","61","61"
"62","225.3024218082428","225.3024218082428","225.3024218082428","62","62","62"
"63","419.7713885307312","419.7713885307312","419.7713885307312","63","63","63"
"64","113.06182646751404","113.06182646751404","113.06182646751404","64","64","64"
"65","192.2240924835205","192.2240924835205","192.2240924835205","65","65","65"
"66","117.4393379688263","117.4393379688263","117.4393379688263","66","66","66"
"67","465.226571559906","465.226571559906","465.226571559906","67","67","67"
"68","423.4964768886566","423.4964768886566","423.4964768886566","68","68","68"
"69","2605.1197271347046","2605.1197271347046","2605.1197271347046","69","69","69"
"70","513.4889340400696","513.4889340400696","513.4889340400696","70","70","70"
"71","336.13935947418213","336.13935947418213","336.13935947418213","71","71","71"
"72","239.79419565200806","239.79419565200806","239.79419565200806","72","72","72"
"73","204.68076372146606","204.68076372146606","204.68076372146606","73","73","73"
"74","180.6237759590149","180.6237759590149","180.6237759590149","74","74","74"
"75","528.4302957057953","528.4302957057953","528.4302957057953","75","75","75"
"76","205.4627707004547","205.4627707004547","205.4627707004547","76","76","76"
"77","3168.063328742981","3168.063328742981","3168.063328742981","77","77","77"
"78","96.96045160293579","96.96045160293579","96.96045160293579","78","78","78"
"79","3441.7510747909546","3441.7510747909546","3441.7510747909546","79","79","79"
"80","1321.3558831214905","1321.3558831214905","1321.3558831214905","80","80","80"
"81","306.3735132217407","306.3735132217407","306.3735132217407","81","81","81"
"82","250.169420003891","250.169420003891","250.169420003891","82","82","82"
"83","536.7111122608185","536.7111122608185","536.7111122608185","83","83","83"
"84","1034.0949692726135","1034.0949692726135","1034.0949692726135","84","84","84"
"85","336.63100004196167","336.63100004196167","336.63100004196167","85","85","85"
"86","2481.740576982498","2481.740576982498","2481.740576982498","86","86","86"
"87","1121.3543689250946","1121.3543689250946","1121.3543689250946","87","87","87"
"88","185.05449175834656","185.05449175834656","185.05449175834656","88","88","88"
"89","317.62119817733765","317.62119817733765","317.62119817733765","89","89","89"
"90","1115.1416368484497","1115.1416368484497","1115.1416368484497","90","90","90"
"91","336.27508330345154","336.27508330345154","336.27508330345154","91","91","91"
"92","340.11880803108215","340.11880803108215","340.11880803108215","92","92","92"
"93","2645.577677488327","2645.577677488327","2645.577677488327","93","93","93"
"94","3369.633618116379","3369.633618116379","3369.633618116379","94","94","94"
"95","246.47428917884827","246.47428917884827","246.47428917884827","95","95","95"
"96","1159.5044531822205","1159.5044531822205","1159.5044531822205","96","96","96"
"97","238.6316466331482","238.6316466331482","238.6316466331482","97","97","97"
"98","356.06327986717224","356.06327986717224","356.06327986717224","98","98","98"
"99","203.07371711730957","203.07371711730957","203.07371711730957","99","99","99"
"100","2811.3321363925934","2811.3321363925934","2811.3321363925934","100","100","100"
