"game_no","golden-pyramid-593 - actions_taken","golden-pyramid-593 - actions_taken__MIN","golden-pyramid-593 - actions_taken__MAX","golden-pyramid-593 - _step","golden-pyramid-593 - _step__MIN","golden-pyramid-593 - _step__MAX"
"1","11","11","11","1","1","1"
"2","13","13","13","2","2","2"
"3","10","10","10","3","3","3"
"4","5","5","5","4","4","4"
"5","24","24","24","5","5","5"
"6","38","38","38","6","6","6"
"7","28","28","28","7","7","7"
"8","7","7","7","8","8","8"
"9","9","9","9","9","9","9"
"10","30","30","30","10","10","10"
"11","8","8","8","11","11","11"
"12","45","45","45","12","12","12"
"13","13","13","13","13","13","13"
"14","5","5","5","14","14","14"
"15","14","14","14","15","15","15"
"16","12","12","12","16","16","16"
"17","36","36","36","17","17","17"
"18","9","9","9","18","18","18"
"19","19","19","19","19","19","19"
"20","7","7","7","20","20","20"
"21","21","21","21","21","21","21"
"22","10","10","10","22","22","22"
"23","20","20","20","23","23","23"
"24","6","6","6","24","24","24"
"25","26","26","26","25","25","25"
"26","32","32","32","26","26","26"
"27","29","29","29","27","27","27"
"28","4","4","4","28","28","28"
"29","60","60","60","29","29","29"
"30","16","16","16","30","30","30"
"31","9","9","9","31","31","31"
"32","42","42","42","32","32","32"
"33","9","9","9","33","33","33"
"34","22","22","22","34","34","34"
"35","60","60","60","35","35","35"
"36","5","5","5","36","36","36"
"37","19","19","19","37","37","37"
"38","22","22","22","38","38","38"
"39","8","8","8","39","39","39"
"40","19","19","19","40","40","40"
"41","8","8","8","41","41","41"
"42","4","4","4","42","42","42"
"43","10","10","10","43","43","43"
"44","34","34","34","44","44","44"
"45","8","8","8","45","45","45"
"46","29","29","29","46","46","46"
"47","10","10","10","47","47","47"
"48","11","11","11","48","48","48"
"49","19","19","19","49","49","49"
"50","11","11","11","50","50","50"
"51","8","8","8","51","51","51"
"52","60","60","60","52","52","52"
"53","5","5","5","53","53","53"
"54","6","6","6","54","54","54"
"55","10","10","10","55","55","55"
"56","13","13","13","56","56","56"
"57","25","25","25","57","57","57"
"58","19","19","19","58","58","58"
"59","27","27","27","59","59","59"
"60","29","29","29","60","60","60"
"61","15","15","15","61","61","61"
"62","9","9","9","62","62","62"
"63","17","17","17","63","63","63"
"64","5","5","5","64","64","64"
"65","9","9","9","65","65","65"
"66","5","5","5","66","66","66"
"67","17","17","17","67","67","67"
"68","18","18","18","68","68","68"
"69","60","60","60","69","69","69"
"70","19","19","19","70","70","70"
"71","12","12","12","71","71","71"
"72","9","9","9","72","72","72"
"73","4","4","4","73","73","73"
"74","9","9","9","74","74","74"
"75","25","25","25","75","75","75"
"76","9","9","9","76","76","76"
"77","60","60","60","77","77","77"
"78","4","4","4","78","78","78"
"79","37","37","37","79","79","79"
"80","39","39","39","80","80","80"
"81","13","13","13","81","81","81"
"82","10","10","10","82","82","82"
"83","23","23","23","83","83","83"
"84","32","32","32","84","84","84"
"85","13","13","13","85","85","85"
"86","60","60","60","86","86","86"
"87","34","34","34","87","87","87"
"88","5","5","5","88","88","88"
"89","13","13","13","89","89","89"
"90","25","25","25","90","90","90"
"91","13","13","13","91","91","91"
"92","11","11","11","92","92","92"
"93","60","60","60","93","93","93"
"94","60","60","60","94","94","94"
"95","8","8","8","95","95","95"
"96","34","34","34","96","96","96"
"97","7","7","7","97","97","97"
"98","10","10","10","98","98","98"
"99","5","5","5","99","99","99"
"100","40","40","40","100","100","100"
"101","11","11","11","101","101","101"
"102","40","40","40","102","102","102"
"103","23","23","23","103","103","103"
"104","18","18","18","104","104","104"
"105","6","6","6","105","105","105"
"106","7","7","7","106","106","106"
"107","24","24","24","107","107","107"
"108","5","5","5","108","108","108"
"109","60","60","60","109","109","109"
"110","29","29","29","110","110","110"
"111","19","19","19","111","111","111"
"112","20","20","20","112","112","112"
"113","10","10","10","113","113","113"
"114","16","16","16","114","114","114"
"115","15","15","15","115","115","115"
"116","25","25","25","116","116","116"
"117","4","4","4","117","117","117"
"118","52","52","52","118","118","118"
"119","5","5","5","119","119","119"
"120","24","24","24","120","120","120"
"121","37","37","37","121","121","121"
"122","24","24","24","122","122","122"
"123","27","27","27","123","123","123"
"124","60","60","60","124","124","124"
"125","60","60","60","125","125","125"
"126","10","10","10","126","126","126"
"127","18","18","18","127","127","127"
"128","13","13","13","128","128","128"
"129","4","4","4","129","129","129"
"130","4","4","4","130","130","130"
"131","4","4","4","131","131","131"
"132","18","18","18","132","132","132"
"133","5","5","5","133","133","133"
"134","15","15","15","134","134","134"
"135","7","7","7","135","135","135"
"136","15","15","15","136","136","136"
"137","23","23","23","137","137","137"
"138","4","4","4","138","138","138"
"139","60","60","60","139","139","139"
